,taxid,assembly_accession,organism_name,superkingdom,phylum,class,order,family,genus,no_rank
25,75985,GCF_007964465.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
26,75985,GCF_007964685.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
27,75985,GCF_007964805.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
28,75985,GCF_007964925.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
29,75985,GCF_007965105.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
30,75985,GCF_007965355.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
31,75985,GCF_007965585.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
32,75985,GCF_007965745.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
33,75985,GCF_007965905.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
34,75985,GCF_007966105.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
35,75985,GCF_007973265.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
36,75985,GCF_007973365.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
37,75985,GCF_007973645.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
38,75985,GCF_007973825.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
39,75985,GCF_007974025.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
40,75985,GCF_007974045.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
41,75985,GCF_007974065.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
42,75985,GCF_007974085.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
43,75985,GCF_007974105.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
44,75985,GCF_007974125.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
45,75985,GCF_007974145.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
46,75985,GCF_007974165.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
47,75985,GCF_007974375.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
48,75985,GCF_007974525.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
49,75985,GCF_007974745.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
50,75985,GCF_007974925.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
51,75985,GCF_007975085.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
52,75985,GCF_007975225.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
53,75985,GCF_007975365.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
54,75985,GCF_007975575.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
55,75985,GCF_007975765.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
56,75985,GCF_007976025.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
57,75985,GCF_007976245.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
58,75985,GCF_007976445.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
59,75985,GCF_007976625.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
60,75985,GCF_007976765.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
61,75985,GCF_007976905.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
62,75985,GCF_007977085.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
63,75985,GCF_007977225.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
64,75985,GCF_007977495.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
65,75985,GCF_007977645.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
66,75985,GCF_007977825.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
67,75985,GCF_007978045.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
68,75985,GCF_007978185.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
69,75985,GCF_007978365.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
70,75985,GCF_007978505.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
71,75985,GCF_007978725.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
72,75985,GCF_007978905.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
73,75985,GCF_007979065.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
74,75985,GCF_007979225.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
75,75985,GCF_007979365.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
76,75985,GCF_007979525.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
77,75985,GCF_007979665.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
78,75985,GCF_007979905.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
79,75985,GCF_007980045.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
80,75985,GCF_007980145.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
81,75985,GCF_007980285.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
82,75985,GCF_007980445.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
83,75985,GCF_007980645.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
84,75985,GCF_007980785.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
85,75985,GCF_007980905.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
86,75985,GCF_007980965.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
87,75985,GCF_007980985.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
88,75985,GCF_007981005.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
89,75985,GCF_007981025.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
90,75985,GCF_007981045.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
91,75985,GCF_900638155.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
92,85402,GCF_011455695.1,Mannheimia granulomatis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
93,85402,GCF_013377215.1,Mannheimia granulomatis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
94,85402,GCF_013377255.1,Mannheimia granulomatis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
95,85404,GCF_003261035.1,Mannheimia varigena,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
96,85404,GCF_013377235.1,Mannheimia varigena,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
97,85404,GCF_013390325.1,Mannheimia varigena,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
98,111844,GCF_013377975.1,Mannheimia pernigra,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
99,111844,GCF_013377995.1,Mannheimia pernigra,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
100,111844,GCF_013378015.1,Mannheimia pernigra,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
101,1222034,GCF_000819525.2,Mannheimia haemolytica USDA-ARS-USMARC-184,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica USDA-ARS-USMARC-184
102,1249526,GCF_000349785.2,Mannheimia haemolytica USDA-ARS-USMARC-185,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica USDA-ARS-USMARC-185
103,1249531,GCF_000349765.2,Mannheimia haemolytica USDA-ARS-USMARC-183,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica USDA-ARS-USMARC-183
104,1261126,GCF_000422145.1,Mannheimia haemolytica D153,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica D153
105,1311759,GCF_000427275.1,Mannheimia haemolytica D171,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica D171
106,1311760,GCF_000422095.1,Mannheimia haemolytica D174,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica D174
107,1316932,GCF_000376645.1,Mannheimia haemolytica M42548,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica M42548
108,1366053,GCF_000439735.1,Mannheimia haemolytica USMARC_2286,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica USMARC_2286
109,1432056,GCF_000521605.1,Mannheimia sp. USDA-ARS-USMARC-1261,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
110,1433287,GCF_000521655.1,Mannheimia varigena USDA-ARS-USMARC-1296,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia varigena USDA-ARS-USMARC-1296
111,1434214,GCF_000521695.1,Mannheimia varigena USDA-ARS-USMARC-1312,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia varigena USDA-ARS-USMARC-1312
112,1434215,GCF_000521685.1,Mannheimia varigena USDA-ARS-USMARC-1388,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia varigena USDA-ARS-USMARC-1388
113,2679994,GCF_009828705.1,Mannheimia ovis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
114,2679995,GCF_017750945.1,Mannheimia sp. ZY171111,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
115,2770636,GCF_014541205.1,Mannheimia bovis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
116,2590900,GCF_013265555.1,Tenuifilum thalassicum,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tenuifilaceae,Tenuifilum,
117,471854,GCF_000023125.1,Dyadobacter fermentans DSM 18053,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter fermentans DSM 18053
118,2747268,GCF_016894445.1,Dyadobacter sp. Q3-56,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,
119,1653480,GCF_900070365.1,Alloactinosynnema sp. L-07,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Alloactinosynnema,
120,1871022,GCF_900143685.1,Parolsenella massiliensis,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,
121,2003188,GCF_003966955.1,Parolsenella catena,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,
122,1061,GCF_014622665.1,Rhodobacter capsulatus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
123,1075,GCF_003071405.1,Rhodobacter blasticus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
124,272942,GCF_000021865.1,Rhodobacter capsulatus SB 1003,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter capsulatus SB 1003
125,272943,GCF_000012905.2,Rhodobacter sphaeroides 2.4.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides 2.4.1
126,272943,GCF_000269625.1,Rhodobacter sphaeroides 2.4.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides 2.4.1
127,272943,GCF_000273405.1,Rhodobacter sphaeroides 2.4.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides 2.4.1
128,272943,GCF_003324715.1,Rhodobacter sphaeroides 2.4.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides 2.4.1
129,349101,GCF_000015985.1,Rhodobacter sphaeroides ATCC 17029,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides ATCC 17029
130,557760,GCF_000021005.1,Rhodobacter sphaeroides KD131,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides KD131
131,992186,GCF_000212605.1,Rhodobacter sphaeroides WS8N,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides WS8N
132,1850250,GCF_001856665.1,Rhodobacter sp. LPB0142,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
133,2033869,GCF_002407205.1,Rhodobacter sp. CZR27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
134,2172103,GCF_003096015.2,Limnobaculum parvum,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Budviciaceae,Limnobaculum,
135,880073,GCF_000241815.1,Caldithrix abyssi DSM 13497,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,Caldithrix abyssi DSM 13497
136,880073,GCF_001886815.1,Caldithrix abyssi DSM 13497,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,Caldithrix abyssi DSM 13497
137,525903,GCF_000024905.1,Thermanaerovibrio acidaminovorans DSM 6589,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,Thermanaerovibrio acidaminovorans DSM 6589
138,926567,GCF_000237825.1,Thermanaerovibrio velox DSM 12556,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,Thermanaerovibrio velox DSM 12556
139,1176533,GCF_007795095.1,Luteimonas granuli,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
140,1896164,GCF_001717465.1,Luteimonas sp. JM171,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
141,2006110,GCF_002327105.1,Luteimonas chenhongjianii,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
142,2508168,GCF_004118975.1,Luteimonas sp. YGD11-2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
143,2565782,GCF_004803715.2,Luteimonas yindakuii,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
144,2761107,GCF_014764385.1,Luteimonas sp. MC1825,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
145,2799325,GCF_016615815.1,Luteimonas sp. MC1572,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
146,2799326,GCF_016615955.1,Luteimonas sp. MC1750,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
147,290398,GCF_000055785.1,Chromohalobacter salexigens DSM 3043,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter salexigens DSM 3043
148,216432,GCF_000196315.1,Croceibacter atlanticus HTCC2559,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus HTCC2559
149,37931,GCF_014076395.1,Paenarthrobacter ureafaciens,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Paenarthrobacter,
150,37931,GCF_016694995.1,Paenarthrobacter ureafaciens,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Paenarthrobacter,
151,37931,GCF_017357445.1,Paenarthrobacter ureafaciens,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Paenarthrobacter,
152,290340,GCF_000014925.1,Paenarthrobacter aurescens TC1,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter aurescens TC1
153,2735316,GCF_015040095.1,Paenarthrobacter sp. YJN-5,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Paenarthrobacter,
154,2735317,GCF_015040335.1,Paenarthrobacter sp. YJN-D,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Paenarthrobacter,
155,1809410,GCF_900130075.1,Herminiimonas arsenitoxidans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,
156,324602,GCF_000018865.1,Chloroflexus aurantiacus J-10-fl,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aurantiacus J-10-fl
157,326427,GCF_000021945.1,Chloroflexus aggregans DSM 9485,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aggregans DSM 9485
158,480224,GCF_000022185.1,Chloroflexus aurantiacus Y-400-fl,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aurantiacus Y-400-fl
159,2211106,GCF_004001325.1,Thiomicrorhabdus aquaedulcis,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,
160,2267253,GCF_004293625.1,Thiomicrorhabdus indica,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,
161,2580412,GCF_005885815.1,Thiomicrorhabdus sediminis,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,
162,2739063,GCF_013282625.1,Thiomicrorhabdus xiamenensis,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,
163,880074,GCF_000512915.1,Barnesiella viscericola DSM 18177,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola DSM 18177
